N,P,K,Temperature,Humidity,pH,Rainfall,Crop,Mixed_Crops,Organic_Fertilizer,Biopesticide,Agroforestry_Tree
47,91,110,30.1,72.8,8.1,491.8,muskmelon,Muskmelon+Beans,Farmyard Manure,Panchagavya Extract,Leucaena
83,29,16,27.5,85.7,6.1,1843.5,banana,Banana+Coffee,Vermicompost,Neem Oil,Neem
34,117,45,36.1,64.9,6.4,253.5,mungbean,Mungbean+Sorghum,Bio-slurry,Neem Oil,Acacia
138,21,113,21.9,80.3,4.9,508.1,jute,Jute+Rice,Green Manure,Trichoderma,Neem
36,77,85,30.6,85.7,7.6,659.3,mango,Mango+Turmeric,Panchagavya,Trichoderma,Gliricidia
34,93,66,24.8,47.3,6.2,1328.7,mothbeans,Mothbean+Castor,Jeevamrutha,Neem + Soap,Casuarina
102,26,143,34.2,53.4,7.8,1964.2,coffee,Coffee+Banana,Forest Leaf Compost,Trichoderma,Casuarina
139,112,128,17.0,75.4,4.8,1304.7,mothbeans,Mothbean+Castor,Green Manure,Panchagavya Extract,Leucaena
50,105,168,24.1,63.6,6.5,340.6,watermelon,Watermelon+Maize,Vermicompost,Panchagavya Extract,Casuarina
19,99,25,16.8,65.7,7.6,846.7,blackgram,Blackgram+Maize,Panchagavya,Bt Spray,Acacia
126,22,86,16.9,66.0,5.5,435.4,lentil,Lentil+Mustard,Panchagavya,Garlic-Chili Extract,Subabul
71,41,99,17.4,47.9,5.5,901.7,blackgram,Blackgram+Maize,Green Manure,Garlic-Chili Extract,Casuarina
11,76,105,30.9,58.4,5.9,1570.6,pigeonpeas,Pigeon Pea+Millet,Forest Leaf Compost,Trichoderma,Leucaena
120,45,162,39.9,53.4,7.2,752.3,coconut,Coconut+Pineapple,Bio-slurry,Panchagavya Extract,Sesbania
55,9,44,20.6,33.1,7.1,1821.3,mothbeans,Mothbean+Castor,Forest Leaf Compost,Pseudomonas,Drumstick
76,53,132,21.2,58.8,5.8,808.3,rice,Rice+Sesbania,Forest Leaf Compost,Neem + Soap,Subabul
42,9,25,34.8,64.8,8.5,714.3,chickpea,Wheat+Gram,Forest Leaf Compost,Beauveria Bassiana,Neem
82,54,54,38.1,50.2,5.1,472.1,pomegranate,Pomegranate+Marigold,Farmyard Manure,Bt Spray,Neem
88,24,127,16.2,65.3,5.0,1646.6,rice,Rice+Sesbania,Jeevamrutha,Beauveria Bassiana,Leucaena
54,94,124,15.4,81.7,8.3,1822.4,maize,Maize+Beans,Forest Leaf Compost,Pseudomonas,Sesbania
101,114,195,26.6,47.5,4.7,917.1,lentil,Lentil+Mustard,Farmyard Manure,Neem + Soap,Gliricidia
26,59,91,24.3,58.5,4.6,1986.9,kidneybeans,Beans+Maize,Farmyard Manure,Bt Spray,Acacia
21,40,115,24.3,34.5,6.8,975.9,mango,Mango+Turmeric,Green Manure,Neem + Soap,Gliricidia
13,30,48,33.4,81.3,5.9,1932.1,blackgram,Blackgram+Maize,Panchagavya,Bt Spray,Acacia
12,34,154,18.3,38.0,5.4,1371.8,jute,Jute+Rice,Green Manure,Panchagavya Extract,Drumstick
96,82,137,29.5,32.0,5.8,228.9,chickpea,Wheat+Gram,Panchagavya,Trichoderma,Gliricidia
28,75,6,29.0,59.8,5.3,206.4,apple,Apple+Medicinal Plants,Jeevamrutha,Trichoderma,Neem
41,24,194,17.5,47.4,7.2,997.5,kidneybeans,Beans+Maize,Panchagavya,Neem + Soap,Gliricidia
71,115,42,17.4,88.0,6.5,1677.0,cotton,Cotton+Turmeric,Panchagavya,Neem + Soap,Neem
107,92,74,16.8,57.8,7.5,892.8,blackgram,Blackgram+Maize,Forest Leaf Compost,Neem Oil,Neem
66,84,7,20.2,76.7,7.8,1528.8,mango,Mango+Turmeric,Green Manure,Trichoderma,Gliricidia
121,45,142,35.6,62.0,7.2,1021.1,orange,Orange+Spices,Forest Leaf Compost,Pseudomonas,Subabul
42,74,137,36.3,59.3,7.3,1092.4,grapes,Grapes+Legumes,Farmyard Manure,Trichoderma,Subabul
134,61,170,38.2,86.6,8.1,1233.7,coconut,Coconut+Pineapple,Bio-slurry,Neem Oil,Gliricidia
78,24,97,33.1,38.3,5.6,1520.9,orange,Orange+Spices,Forest Leaf Compost,Garlic-Chili Extract,Neem
12,21,106,15.1,34.3,5.0,1050.1,mungbean,Mungbean+Sorghum,Bio-slurry,Trichoderma,Drumstick
127,43,71,30.1,51.5,5.7,1893.4,papaya,Papaya+Drumstick,Bio-slurry,Trichoderma,Casuarina
132,13,183,30.9,86.0,6.9,521.1,mungbean,Mungbean+Sorghum,Vermicompost,Garlic-Chili Extract,Gliricidia
77,55,45,28.2,33.2,8.1,233.0,chickpea,Wheat+Gram,Panchagavya,Panchagavya Extract,Gliricidia
58,84,176,30.2,32.8,4.7,821.3,mungbean,Mungbean+Sorghum,Bio-slurry,Bt Spray,Drumstick
37,113,20,39.5,33.8,6.9,1348.9,apple,Apple+Medicinal Plants,Green Manure,Garlic-Chili Extract,Drumstick
100,46,62,19.5,78.2,6.3,1465.5,cotton,Cotton+Turmeric,Green Manure,Neem + Soap,Casuarina
13,95,198,30.0,41.0,6.4,931.6,jute,Jute+Rice,Vermicompost,Bt Spray,Drumstick
139,20,41,19.9,65.3,4.6,1544.2,kidneybeans,Beans+Maize,Forest Leaf Compost,Trichoderma,Leucaena
58,119,134,15.4,32.2,8.3,1788.5,jute,Jute+Rice,Panchagavya,Panchagavya Extract,Casuarina
133,116,18,27.3,76.2,8.4,750.9,pigeonpeas,Pigeon Pea+Millet,Farmyard Manure,Neem + Soap,Casuarina
26,70,35,34.9,87.9,7.9,1481.4,blackgram,Blackgram+Maize,Forest Leaf Compost,Neem Oil,Sesbania
137,106,146,21.3,71.7,5.5,1003.9,banana,Banana+Coffee,Farmyard Manure,Trichoderma,Gliricidia
93,44,104,15.5,43.3,4.8,669.1,chickpea,Wheat+Gram,Bio-slurry,Bt Spray,Neem
95,72,40,24.7,37.7,6.9,1066.8,orange,Orange+Spices,Bio-slurry,Trichoderma,Casuarina
63,88,197,18.4,70.7,6.8,683.0,maize,Maize+Beans,Green Manure,Neem Oil,Leucaena
137,53,63,19.9,76.1,6.6,1002.1,grapes,Grapes+Legumes,Bio-slurry,Neem Oil,Acacia
84,83,162,21.6,37.5,7.2,1721.4,cotton,Cotton+Turmeric,Bio-slurry,Bt Spray,Neem
52,5,155,29.0,31.8,4.9,1942.9,banana,Banana+Coffee,Forest Leaf Compost,Beauveria Bassiana,Subabul
73,42,189,27.5,49.1,5.3,1397.3,mothbeans,Mothbean+Castor,Bio-slurry,Bt Spray,Subabul
121,30,107,22.6,43.2,6.5,529.9,rice,Rice+Sesbania,Bio-slurry,Garlic-Chili Extract,Subabul
31,28,110,34.2,88.2,5.5,1293.2,coconut,Coconut+Pineapple,Farmyard Manure,Neem Oil,Subabul
12,77,84,37.4,42.4,4.8,1511.2,muskmelon,Muskmelon+Beans,Vermicompost,Bt Spray,Acacia
34,40,89,20.7,86.5,4.8,1775.8,mungbean,Mungbean+Sorghum,Vermicompost,Panchagavya Extract,Sesbania
80,92,76,27.0,52.4,7.5,796.0,orange,Orange+Spices,Vermicompost,Bt Spray,Drumstick
65,104,165,35.1,37.4,7.6,643.2,cotton,Cotton+Turmeric,Green Manure,Panchagavya Extract,Neem
50,80,193,34.8,51.4,6.6,1858.5,grapes,Grapes+Legumes,Farmyard Manure,Neem + Soap,Acacia
101,114,85,35.8,48.4,6.2,495.1,muskmelon,Muskmelon+Beans,Jeevamrutha,Neem Oil,Drumstick
54,18,148,21.7,70.6,8.3,1229.2,mothbeans,Mothbean+Castor,Panchagavya,Trichoderma,Sesbania
91,6,37,20.3,38.6,5.8,1471.3,coffee,Coffee+Banana,Green Manure,Garlic-Chili Extract,Drumstick
77,119,77,18.9,57.1,6.8,727.6,pomegranate,Pomegranate+Marigold,Farmyard Manure,Garlic-Chili Extract,Subabul
99,13,63,26.0,45.1,5.3,1191.5,pomegranate,Pomegranate+Marigold,Jeevamrutha,Beauveria Bassiana,Subabul
125,117,60,16.9,48.4,5.0,571.6,banana,Banana+Coffee,Green Manure,Bt Spray,Subabul
41,33,154,33.0,63.6,6.0,1314.4,banana,Banana+Coffee,Bio-slurry,Beauveria Bassiana,Neem
115,115,119,25.3,38.4,8.5,1217.1,pigeonpeas,Pigeon Pea+Millet,Forest Leaf Compost,Beauveria Bassiana,Acacia
136,48,83,19.9,84.3,7.7,432.7,grapes,Grapes+Legumes,Neem Cake,Neem Oil,Subabul
16,103,152,24.6,56.8,7.7,314.3,mango,Mango+Turmeric,Panchagavya,Beauveria Bassiana,Drumstick
41,38,175,34.6,64.9,8.3,294.4,blackgram,Blackgram+Maize,Forest Leaf Compost,Pseudomonas,Casuarina
137,35,90,20.4,87.9,7.4,1615.0,coconut,Coconut+Pineapple,Vermicompost,Garlic-Chili Extract,Subabul
119,47,134,17.2,37.1,8.1,1343.6,apple,Apple+Medicinal Plants,Neem Cake,Garlic-Chili Extract,Sesbania
128,34,70,24.5,85.0,6.1,680.9,orange,Orange+Spices,Green Manure,Panchagavya Extract,Acacia
84,22,103,38.0,69.6,4.6,1594.2,jute,Jute+Rice,Forest Leaf Compost,Bt Spray,Gliricidia
122,16,187,23.8,87.0,5.9,392.7,papaya,Papaya+Drumstick,Vermicompost,Neem Oil,Sesbania
133,23,74,33.7,49.2,7.1,1726.8,coffee,Coffee+Banana,Vermicompost,Trichoderma,Leucaena
36,35,81,27.9,61.2,6.6,1104.2,papaya,Papaya+Drumstick,Panchagavya,Trichoderma,Drumstick
10,41,197,36.6,34.7,7.3,1226.8,papaya,Papaya+Drumstick,Forest Leaf Compost,Panchagavya Extract,Casuarina
84,85,91,30.5,77.9,8.1,1140.0,coffee,Coffee+Banana,Forest Leaf Compost,Bt Spray,Subabul
115,73,193,17.5,59.4,6.7,1760.6,mango,Mango+Turmeric,Vermicompost,Neem + Soap,Neem
63,100,38,16.2,55.8,6.5,635.0,muskmelon,Muskmelon+Beans,Neem Cake,Bt Spray,Leucaena
129,87,157,15.1,37.7,8.3,292.6,orange,Orange+Spices,Green Manure,Neem Oil,Gliricidia
139,10,5,22.6,66.2,7.3,1685.4,orange,Orange+Spices,Vermicompost,Trichoderma,Leucaena
68,86,99,35.4,86.7,6.9,1868.0,kidneybeans,Beans+Maize,Neem Cake,Garlic-Chili Extract,Neem
51,8,97,29.8,38.3,5.5,360.6,lentil,Lentil+Mustard,Vermicompost,Neem + Soap,Neem
84,11,91,34.0,37.5,7.2,1356.8,coffee,Coffee+Banana,Bio-slurry,Pseudomonas,Sesbania
73,91,92,22.3,77.4,6.1,787.9,muskmelon,Muskmelon+Beans,Panchagavya,Bt Spray,Acacia
111,70,71,20.9,39.3,5.8,350.3,muskmelon,Muskmelon+Beans,Jeevamrutha,Pseudomonas,Neem
63,65,186,26.2,39.3,7.9,369.9,mango,Mango+Turmeric,Neem Cake,Garlic-Chili Extract,Leucaena
50,67,175,29.7,67.3,5.8,949.3,muskmelon,Muskmelon+Beans,Vermicompost,Neem Oil,Sesbania
137,115,92,22.2,69.7,4.8,1091.8,mungbean,Mungbean+Sorghum,Jeevamrutha,Neem + Soap,Casuarina
39,47,149,29.4,48.2,6.9,825.0,cotton,Cotton+Turmeric,Farmyard Manure,Panchagavya Extract,Subabul
42,21,142,33.9,69.0,7.7,1124.5,pomegranate,Pomegranate+Marigold,Vermicompost,Panchagavya Extract,Neem
81,37,105,33.9,80.2,7.1,629.1,mango,Mango+Turmeric,Jeevamrutha,Garlic-Chili Extract,Sesbania
129,67,177,33.3,33.7,8.5,438.5,pomegranate,Pomegranate+Marigold,Neem Cake,Panchagavya Extract,Sesbania
115,95,150,34.8,82.8,5.4,885.4,grapes,Grapes+Legumes,Farmyard Manure,Neem Oil,Subabul
126,105,177,21.9,57.6,7.0,520.1,banana,Banana+Coffee,Panchagavya,Neem Oil,Leucaena
103,11,72,31.3,82.6,7.3,1467.5,chickpea,Wheat+Gram,Neem Cake,Garlic-Chili Extract,Acacia
94,80,64,38.2,59.3,6.2,1133.9,jute,Jute+Rice,Bio-slurry,Bt Spray,Casuarina
50,78,30,29.7,33.0,5.0,1622.8,grapes,Grapes+Legumes,Vermicompost,Trichoderma,Casuarina
40,59,147,39.6,69.1,8.1,923.5,papaya,Papaya+Drumstick,Vermicompost,Neem + Soap,Drumstick
66,27,73,24.5,49.8,5.1,645.3,coffee,Coffee+Banana,Jeevamrutha,Bt Spray,Acacia
15,86,128,29.1,50.8,6.0,1810.1,mungbean,Mungbean+Sorghum,Green Manure,Pseudomonas,Acacia
11,84,94,37.7,52.9,5.7,332.4,mango,Mango+Turmeric,Green Manure,Beauveria Bassiana,Subabul
57,19,187,18.0,39.6,5.5,1415.4,pigeonpeas,Pigeon Pea+Millet,Jeevamrutha,Pseudomonas,Sesbania
55,8,28,32.7,47.8,5.5,886.0,chickpea,Wheat+Gram,Farmyard Manure,Trichoderma,Subabul
66,10,171,26.0,88.0,7.0,673.5,rice,Rice+Sesbania,Jeevamrutha,Beauveria Bassiana,Acacia
104,39,37,23.9,74.6,7.4,1049.6,orange,Orange+Spices,Jeevamrutha,Pseudomonas,Subabul
63,14,197,16.6,80.8,4.7,1241.0,mango,Mango+Turmeric,Neem Cake,Trichoderma,Sesbania
24,50,103,29.7,40.4,5.1,765.3,jute,Jute+Rice,Jeevamrutha,Neem + Soap,Casuarina
13,95,103,29.0,58.1,5.7,1678.7,kidneybeans,Beans+Maize,Neem Cake,Trichoderma,Subabul
138,119,194,16.6,72.3,6.0,660.0,watermelon,Watermelon+Maize,Farmyard Manure,Panchagavya Extract,Leucaena
31,30,80,39.0,32.0,7.6,406.8,pigeonpeas,Pigeon Pea+Millet,Panchagavya,Bt Spray,Neem
90,27,18,24.3,61.1,6.8,997.3,rice,Rice+Sesbania,Forest Leaf Compost,Trichoderma,Casuarina
86,47,153,27.9,43.3,5.8,957.7,pomegranate,Pomegranate+Marigold,Farmyard Manure,Pseudomonas,Gliricidia
63,71,69,22.7,43.8,5.7,1874.0,papaya,Papaya+Drumstick,Farmyard Manure,Pseudomonas,Casuarina
72,28,11,17.5,86.6,7.7,1223.4,pomegranate,Pomegranate+Marigold,Farmyard Manure,Beauveria Bassiana,Sesbania
138,115,43,36.4,51.2,4.5,1822.0,kidneybeans,Beans+Maize,Green Manure,Bt Spray,Drumstick
37,108,116,39.5,68.8,8.5,231.5,coconut,Coconut+Pineapple,Neem Cake,Neem + Soap,Gliricidia
79,32,8,18.9,80.7,8.1,1285.9,rice,Rice+Sesbania,Vermicompost,Garlic-Chili Extract,Gliricidia
99,88,63,39.7,69.6,8.1,602.2,mungbean,Mungbean+Sorghum,Forest Leaf Compost,Bt Spray,Acacia
72,41,19,33.5,64.4,4.8,1492.7,rice,Rice+Sesbania,Jeevamrutha,Pseudomonas,Leucaena
81,110,62,23.3,79.3,5.6,1330.6,watermelon,Watermelon+Maize,Jeevamrutha,Neem + Soap,Casuarina
11,27,173,34.9,35.6,5.1,1507.9,pigeonpeas,Pigeon Pea+Millet,Jeevamrutha,Garlic-Chili Extract,Casuarina
99,112,167,16.7,39.3,7.1,1591.4,coconut,Coconut+Pineapple,Farmyard Manure,Neem Oil,Leucaena
64,84,161,16.5,81.6,8.1,213.2,jute,Jute+Rice,Farmyard Manure,Panchagavya Extract,Acacia
28,66,38,27.5,56.5,7.1,922.5,watermelon,Watermelon+Maize,Jeevamrutha,Panchagavya Extract,Casuarina
60,6,150,32.8,45.4,5.1,1181.8,muskmelon,Muskmelon+Beans,Forest Leaf Compost,Pseudomonas,Leucaena
120,7,190,30.9,64.4,5.1,929.5,banana,Banana+Coffee,Vermicompost,Garlic-Chili Extract,Acacia
26,33,16,18.3,58.0,8.0,1736.9,papaya,Papaya+Drumstick,Green Manure,Beauveria Bassiana,Subabul
54,58,134,17.4,31.9,6.2,1189.6,apple,Apple+Medicinal Plants,Farmyard Manure,Neem + Soap,Subabul
138,46,178,19.0,49.0,5.9,1115.5,mango,Mango+Turmeric,Vermicompost,Neem Oil,Casuarina
117,67,199,21.0,69.0,7.9,504.7,blackgram,Blackgram+Maize,Vermicompost,Garlic-Chili Extract,Acacia
73,8,143,35.4,69.2,6.6,1891.3,jute,Jute+Rice,Green Manure,Garlic-Chili Extract,Subabul
53,91,102,37.7,54.7,6.3,283.4,coconut,Coconut+Pineapple,Bio-slurry,Neem + Soap,Drumstick
125,80,103,39.7,76.8,8.1,1515.1,watermelon,Watermelon+Maize,Bio-slurry,Bt Spray,Neem
56,118,139,16.5,65.5,4.5,715.5,jute,Jute+Rice,Green Manure,Bt Spray,Acacia
42,35,104,32.9,54.5,4.6,681.3,watermelon,Watermelon+Maize,Vermicompost,Beauveria Bassiana,Leucaena
125,7,152,15.4,82.7,7.8,669.0,chickpea,Wheat+Gram,Jeevamrutha,Neem + Soap,Gliricidia
66,6,187,25.2,55.3,8.2,449.3,chickpea,Wheat+Gram,Forest Leaf Compost,Neem + Soap,Neem
42,29,122,24.3,31.5,8.4,585.9,muskmelon,Muskmelon+Beans,Jeevamrutha,Trichoderma,Neem
105,60,149,16.2,84.3,6.7,1870.1,jute,Jute+Rice,Bio-slurry,Neem + Soap,Subabul
48,101,149,38.8,75.6,4.9,1441.7,muskmelon,Muskmelon+Beans,Jeevamrutha,Panchagavya Extract,Acacia
32,13,137,30.2,53.6,7.6,703.1,mango,Mango+Turmeric,Forest Leaf Compost,Garlic-Chili Extract,Casuarina
15,8,132,31.0,59.0,4.5,1327.5,blackgram,Blackgram+Maize,Farmyard Manure,Neem + Soap,Gliricidia
134,31,102,21.6,32.6,7.8,1968.9,apple,Apple+Medicinal Plants,Neem Cake,Neem + Soap,Drumstick
83,42,38,31.3,34.6,6.3,1238.3,pomegranate,Pomegranate+Marigold,Farmyard Manure,Bt Spray,Subabul
54,67,79,35.4,50.9,7.1,1624.7,pomegranate,Pomegranate+Marigold,Neem Cake,Pseudomonas,Neem
31,45,10,17.8,81.9,7.4,1828.4,jute,Jute+Rice,Vermicompost,Neem Oil,Neem
121,101,173,29.3,42.1,7.2,709.7,apple,Apple+Medicinal Plants,Neem Cake,Panchagavya Extract,Neem
138,67,93,27.5,64.0,6.3,811.0,mothbeans,Mothbean+Castor,Green Manure,Pseudomonas,Subabul
100,31,11,37.9,32.9,6.3,570.8,orange,Orange+Spices,Farmyard Manure,Neem Oil,Gliricidia
57,116,39,30.8,55.3,5.4,1356.2,banana,Banana+Coffee,Panchagavya,Bt Spray,Neem
26,84,173,33.6,53.9,4.8,1934.5,apple,Apple+Medicinal Plants,Panchagavya,Trichoderma,Neem
119,81,183,39.6,86.2,4.9,1212.7,jute,Jute+Rice,Vermicompost,Bt Spray,Casuarina
117,108,125,16.6,79.7,6.9,301.6,grapes,Grapes+Legumes,Farmyard Manure,Pseudomonas,Sesbania
74,101,17,15.9,73.9,4.7,1349.3,papaya,Papaya+Drumstick,Green Manure,Panchagavya Extract,Sesbania
131,56,93,21.7,66.0,7.7,1301.4,maize,Maize+Beans,Bio-slurry,Bt Spray,Sesbania
78,34,87,32.9,89.2,8.3,1686.3,coffee,Coffee+Banana,Green Manure,Garlic-Chili Extract,Sesbania
12,99,118,23.0,49.1,4.7,1181.5,lentil,Lentil+Mustard,Vermicompost,Trichoderma,Casuarina
138,5,146,33.8,36.7,7.3,1535.6,pigeonpeas,Pigeon Pea+Millet,Forest Leaf Compost,Neem + Soap,Gliricidia
102,103,32,23.5,63.3,7.9,1300.7,pomegranate,Pomegranate+Marigold,Vermicompost,Garlic-Chili Extract,Acacia
113,117,175,25.5,80.6,4.6,1552.0,coconut,Coconut+Pineapple,Forest Leaf Compost,Beauveria Bassiana,Acacia
25,112,122,32.2,33.4,4.8,765.0,kidneybeans,Beans+Maize,Farmyard Manure,Neem Oil,Casuarina
73,5,146,16.5,35.3,4.7,1572.5,pomegranate,Pomegranate+Marigold,Bio-slurry,Panchagavya Extract,Neem
63,46,167,36.4,61.8,4.7,1085.2,muskmelon,Muskmelon+Beans,Farmyard Manure,Neem + Soap,Leucaena
132,62,147,15.0,65.5,4.9,1091.3,orange,Orange+Spices,Green Manure,Pseudomonas,Leucaena
53,43,20,32.1,39.6,5.2,1585.6,lentil,Lentil+Mustard,Jeevamrutha,Bt Spray,Acacia
104,29,150,16.5,67.4,7.7,1322.0,mothbeans,Mothbean+Castor,Green Manure,Neem + Soap,Drumstick
139,87,49,29.2,68.1,8.2,845.5,rice,Rice+Sesbania,Vermicompost,Trichoderma,Leucaena
33,30,75,15.1,48.0,7.6,742.1,mango,Mango+Turmeric,Neem Cake,Neem + Soap,Acacia
134,38,181,30.7,79.9,7.4,1415.2,lentil,Lentil+Mustard,Neem Cake,Neem Oil,Sesbania
11,68,53,29.8,72.2,6.3,1474.0,coffee,Coffee+Banana,Jeevamrutha,Pseudomonas,Gliricidia
59,100,153,17.6,85.8,4.9,1954.1,jute,Jute+Rice,Green Manure,Neem + Soap,Leucaena
117,31,35,33.1,37.7,8.1,1929.3,lentil,Lentil+Mustard,Forest Leaf Compost,Trichoderma,Casuarina
57,78,174,36.9,69.9,7.0,1486.0,mothbeans,Mothbean+Castor,Farmyard Manure,Pseudomonas,Casuarina
126,51,111,38.5,84.5,7.1,813.3,blackgram,Blackgram+Maize,Neem Cake,Bt Spray,Gliricidia
107,78,5,38.1,59.7,5.0,781.9,mungbean,Mungbean+Sorghum,Green Manure,Neem + Soap,Neem
105,38,23,27.5,75.4,4.8,787.0,maize,Maize+Beans,Bio-slurry,Garlic-Chili Extract,Subabul
52,51,188,30.2,30.9,5.4,689.8,pigeonpeas,Pigeon Pea+Millet,Forest Leaf Compost,Bt Spray,Acacia
123,114,161,17.3,32.1,7.9,1762.6,banana,Banana+Coffee,Forest Leaf Compost,Bt Spray,Drumstick
84,48,27,34.7,73.5,6.9,1959.7,muskmelon,Muskmelon+Beans,Jeevamrutha,Beauveria Bassiana,Subabul
62,10,60,16.1,38.2,7.1,1299.6,maize,Maize+Beans,Panchagavya,Garlic-Chili Extract,Sesbania
103,37,163,17.8,41.9,6.2,990.3,cotton,Cotton+Turmeric,Green Manure,Pseudomonas,Neem
128,47,195,24.4,65.9,5.7,1279.0,pigeonpeas,Pigeon Pea+Millet,Jeevamrutha,Neem + Soap,Drumstick
20,43,106,35.1,77.3,7.7,440.9,coffee,Coffee+Banana,Bio-slurry,Neem + Soap,Leucaena
57,13,94,34.1,73.3,6.2,1276.5,pigeonpeas,Pigeon Pea+Millet,Forest Leaf Compost,Bt Spray,Casuarina
104,20,71,17.3,37.7,7.3,1595.9,jute,Jute+Rice,Farmyard Manure,Bt Spray,Drumstick
62,16,150,32.0,38.1,7.8,1768.9,cotton,Cotton+Turmeric,Green Manure,Trichoderma,Acacia
50,10,78,15.8,88.5,8.3,1952.2,kidneybeans,Beans+Maize,Bio-slurry,Neem Oil,Sesbania
120,95,103,25.6,78.9,6.0,1913.6,lentil,Lentil+Mustard,Farmyard Manure,Pseudomonas,Drumstick
88,55,142,38.1,36.9,5.5,1386.1,coffee,Coffee+Banana,Farmyard Manure,Trichoderma,Gliricidia
99,81,14,19.6,80.7,6.2,1851.7,mango,Mango+Turmeric,Jeevamrutha,Pseudomonas,Leucaena
133,85,105,17.1,70.4,7.1,1146.6,jute,Jute+Rice,Forest Leaf Compost,Panchagavya Extract,Acacia
59,32,198,28.9,87.3,6.0,1030.7,coconut,Coconut+Pineapple,Forest Leaf Compost,Beauveria Bassiana,Gliricidia
78,69,36,20.9,85.6,5.6,1566.6,watermelon,Watermelon+Maize,Neem Cake,Neem Oil,Casuarina
89,67,186,20.8,70.7,6.9,1830.6,mungbean,Mungbean+Sorghum,Bio-slurry,Panchagavya Extract,Subabul
93,91,85,24.6,68.3,5.6,296.2,blackgram,Blackgram+Maize,Forest Leaf Compost,Neem + Soap,Drumstick
59,52,126,24.6,66.1,8.4,1960.5,coconut,Coconut+Pineapple,Farmyard Manure,Neem + Soap,Leucaena
12,102,91,35.0,37.8,7.6,430.7,coconut,Coconut+Pineapple,Neem Cake,Panchagavya Extract,Drumstick
16,108,8,19.1,40.9,7.5,1404.3,cotton,Cotton+Turmeric,Forest Leaf Compost,Bt Spray,Sesbania
47,46,35,21.9,62.3,8.0,612.8,watermelon,Watermelon+Maize,Bio-slurry,Beauveria Bassiana,Acacia
37,15,172,25.5,57.0,4.5,1910.9,lentil,Lentil+Mustard,Farmyard Manure,Beauveria Bassiana,Gliricidia
24,102,48,36.3,68.9,7.1,1936.5,mungbean,Mungbean+Sorghum,Farmyard Manure,Beauveria Bassiana,Neem
131,55,138,21.2,36.7,8.4,711.0,maize,Maize+Beans,Forest Leaf Compost,Neem + Soap,Casuarina
109,38,158,27.3,52.9,5.4,499.8,papaya,Papaya+Drumstick,Panchagavya,Bt Spray,Subabul
129,100,39,21.3,81.2,4.8,556.0,jute,Jute+Rice,Farmyard Manure,Bt Spray,Gliricidia
59,30,96,31.0,81.8,5.0,1935.1,muskmelon,Muskmelon+Beans,Green Manure,Panchagavya Extract,Acacia
63,23,184,20.1,31.1,7.1,876.6,muskmelon,Muskmelon+Beans,Bio-slurry,Neem + Soap,Gliricidia
34,74,62,17.5,44.8,6.5,824.2,cotton,Cotton+Turmeric,Forest Leaf Compost,Pseudomonas,Sesbania
130,51,82,24.5,51.2,6.7,1802.3,pigeonpeas,Pigeon Pea+Millet,Jeevamrutha,Neem + Soap,Subabul
114,114,111,20.2,63.6,5.4,201.3,papaya,Papaya+Drumstick,Panchagavya,Pseudomonas,Drumstick
30,16,159,20.5,61.0,5.1,1556.7,chickpea,Wheat+Gram,Jeevamrutha,Beauveria Bassiana,Sesbania
70,94,177,29.7,56.2,7.6,1759.2,coffee,Coffee+Banana,Forest Leaf Compost,Bt Spray,Sesbania
124,56,112,22.2,73.0,6.6,532.7,coffee,Coffee+Banana,Neem Cake,Neem + Soap,Leucaena
24,61,92,30.7,80.7,4.9,958.5,cotton,Cotton+Turmeric,Panchagavya,Bt Spray,Leucaena
15,14,18,37.0,78.8,5.7,1396.6,mango,Mango+Turmeric,Forest Leaf Compost,Neem Oil,Subabul
125,39,121,36.9,60.3,6.7,1945.4,mango,Mango+Turmeric,Bio-slurry,Bt Spray,Subabul
98,88,93,17.6,41.0,8.0,1104.3,rice,Rice+Sesbania,Panchagavya,Beauveria Bassiana,Casuarina
16,108,61,28.0,57.7,6.4,568.1,banana,Banana+Coffee,Forest Leaf Compost,Beauveria Bassiana,Sesbania
78,76,172,24.4,65.9,6.7,969.4,pomegranate,Pomegranate+Marigold,Green Manure,Pseudomonas,Neem
26,102,121,39.4,72.7,7.1,980.0,apple,Apple+Medicinal Plants,Vermicompost,Garlic-Chili Extract,Gliricidia
27,29,193,17.4,84.8,5.2,517.3,muskmelon,Muskmelon+Beans,Jeevamrutha,Bt Spray,Leucaena
25,85,192,32.0,50.9,6.4,1154.0,blackgram,Blackgram+Maize,Panchagavya,Panchagavya Extract,Subabul
93,56,56,21.3,48.7,7.4,1621.8,pomegranate,Pomegranate+Marigold,Jeevamrutha,Beauveria Bassiana,Casuarina
77,43,113,34.7,53.0,7.4,1060.9,coconut,Coconut+Pineapple,Jeevamrutha,Beauveria Bassiana,Leucaena
50,111,183,23.1,86.8,5.6,258.7,pomegranate,Pomegranate+Marigold,Neem Cake,Garlic-Chili Extract,Drumstick
66,37,5,24.0,83.7,7.8,1623.6,mango,Mango+Turmeric,Vermicompost,Pseudomonas,Gliricidia
46,93,33,30.4,34.4,6.5,945.1,mothbeans,Mothbean+Castor,Farmyard Manure,Beauveria Bassiana,Leucaena
89,115,104,22.1,56.3,7.2,1163.8,mungbean,Mungbean+Sorghum,Green Manure,Bt Spray,Sesbania
